ulke_adi;ulke_alan_kodu
Afganistan;93
Aland Adaları;+358 18
Almanya;49
Amerikan Samoası;+1 684
Andorra;376
Angola;244
Anguilla;+1 264
Antarktika;672
Antigua ve Barbuda;+1 268
Arjantin;54
Arnavutluk;355
Aruba;297
Avustralya;61
Avusturya;43
Azerbaycan;994
Bahamalar;+1 242
Bahreyn;973
Bangladeş;880
Barbados;+1 246
Belarus;375
Belçika;32
Belize;501
Benin;229
Bermuda;+1 441
Bhutan;975
Birleşik Arap Emirlikleri;971
Birleşik Krallık;44
Bolivya;591
Bosna-Hersek;387
Botsvana;267
Brezilya;55
Brunei Sultanlığı;673
Bulgaristan;359
Burkina Faso;226
Burundi;257
Cebelitarık;350
Cezayir;213
Cibuti;253
Çad;235
Çekya;420
Çin;86
Danimarka;45
Dominik Cumhuriyeti;+1 809
Dominika;+1 767
Doğu Timor;670
Ekvador;593
Ekvator Ginesi;240
El Salvador;503
Endonezya;62
Eritre;291
Ermenistan;374
Estonya;372
Esvatini;268
Etiyopya;251
Fas;212
Fiji;679
Fildişi Sahili;225
Filipinler;63
Filistin;970
Finlandiya;358
Fransa;33
Fransız Guyanası;594
Fransız Polinezyası;689
Gabon;241
Gambia;220
Gana;233
Gine;224
Gine-Bissau;245
Grenada;+1 473
Grönland;299
Guadeloupe;590
Guam;+1 671
Guatemala;502
Guernsey;44
Guyana;592
Güney Afrika;27
Güney Kore;82
Güney Sudan;211
Gürcistan;995
Haiti;509
Hindistan;91
Hollanda;31
Honduras;504
Hong Kong;852
Hırvatistan;385
Irak;964
İran;98
İrlanda;353
İspanya;34
İsrail;972
İsveç;46
İsviçre;41
İtalya;39
İzlanda;354
Jamaika;+1 876
Japonya;81
Jersey;44
Kamboçya;855
Kamerun;237
Kanada;1
Karadağ;382
Katar;974
Kayman Adaları;+1 345
Kazakistan;7
Kenya;254
Kıbrıs Cumhuriyeti;357
Kırgızistan;996
Kiribati;686
Kolombiya;57
Komorlar;269
Kongo Cumhuriyeti;242
Kongo Demokratik Cumhuriyeti;243
Kosova;383
Kosta Rika;506
Küba;53
Kuzey Kore;850
Kuzey Makedonya;389
Kuveyt;965
Laos;856
Lesotho;266
Letonya;371
Liberya;231
Libya;218
Lihtenştayn;423
Litvanya;370
Lübnan;961
Lüksemburg;352
Macaristan;36
Madagaskar;261
Makao;853
Malavi;265
Maldivler;960
Malezya;60
Mali;223
Malta;356
Man Adası;44
Marshall Adaları;692
Martinik;596
Meksika;52
Mısır;20
Mikronezya;691
Moğolistan;976
Moldova;373
Monako;377
Montserrat;+1 664
Moritanya;222
Morityus;230
Mozambik;258
Myanmar (Burma);95
Namibya;264
Nauru;674
Nepal;977
Nijer;227
Nijerya;234
Nikaragua;505
Norveç;47
Orta Afrika Cumhuriyeti;236
Özbekistan;998
Pakistan;92
Palau;680
Panama;507
Papua Yeni Gine;675
Paraguay;595
Peru;51
Polonya;48
Portekiz;351
Porto Riko;+1 787
Reunion;262
Romanya;40
Ruanda;250
Rusya;7
Saint Kitts ve Nevis;+1 869
Saint Lucia;+1 758
Saint Vincent ve Grenadinler;+1 784
Samoa;685
San Marino;378
Senegal;221
Seyşeller;248
Sierra Leone;232
Singapur;65
Slovakya;421
Slovenya;386
Solomon Adaları;677
Somali;252
Sri Lanka;94
Sudan;249
Surinam;597
Suriye;963
Suudi Arabistan;966
Şili;56
Tacikistan;992
Tanzanya;255
Tayland;66
Togo;228
Tonga;676
Trinidad ve Tobago;+1 868
Tunus;216
Türkiye;90
Türkmenistan;993
Uganda;256
Ukrayna;380
Umman;968
Uruguay;598
Ürdün;962
Vanuatu;678
Vatikan;379
Venezuela;58
Vietnam;84
Yemen;967
Yeni Kaledonya;687
Yeni Zelanda;64
Yunanistan;30
Zambiya;260
Zimbabve;263
